Depth,XRF/Hardness Sample #,Sample Location Quality,LWIR 1,LWIR 2,LWIR 3,LWIR 4,LWIR 5,LWIR 6,LWIR 7,LWIR 8,LWIR 9,LWIR 10,LWIR 11,LWIR 12,LWIR 13,LWIR 14,LWIR 15,LWIR 16,LWIR 17,LWIR 18,LWIR 19,LWIR 20,SWIR 1,SWIR 3,SWIR 4,SWIR 5,SWIR 6,SWIR 7,SWIR 8,SWIR 9,SWIR 10,SWIR 11,SWIR 12,SWIR 13,SWIR 14,SWIR 15,SWIR 16,SWIR 17,SWIR 18,SWIR 20,HLD,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ba,Pb,Th,U
5.091985,29,GOOD,0,0,0,0,22.22222222,77.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111,0,0,0,0,0,0,0,0,66.66666667,22.22222222,0,0,0,0,0,831,0.6028,1.9759,3.1041,23.8214,0.0513,0.3375,0,2.204,4.7527,0.2309,0.0053,0.0035,0.2669,1.4632,0.0003,0.0009,0.0006,0.0041,0.001,0.0004,0.0003,0.0069,0.0052,0.0024,0.0241,0.0008,0.0011,0.0163,0.001,0,0
5.191136,30,GOOD,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,787,0,3.0761,3.7203,34.2746,0.095,0.4096,0,2.4717,7.0713,0.2509,0.0024,0.0015,0.4562,1.5361,0.0008,0.0012,0.0008,0.0031,0.0006,0.0003,0,0.0056,0.0058,0.0022,0.0276,0.0006,0.0013,0.0281,0.0008,0.0005,0
5.388347,32,GOOD,44.44444444,0,0,55.55555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,826,0,2.6096,4.4394,30.5786,0.0866,0.563,0,2.9229,5.2006,0.2859,0.004,0.0044,0.329,1.8028,0.0008,0.0019,0.0017,0.0049,0.0013,0.0006,0,0.0084,0.0056,0.0026,0.0229,0.0009,0.0013,0.0238,0.0008,0,0
5.477692,33,GOOD,0,0,0,77.77777778,0,0,0,22.22222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.77777778,11.11111111,0,0,11.11111111,0,0,801,0.1757,2.248,4.8208,30.0766,0.086,0.7079,0,3.2068,4.0119,0.3106,0.0079,0.0034,0.2473,2.0352,0.0009,0.0021,0.0015,0.0051,0.0013,0.0004,0,0.0096,0.005,0.0028,0.0234,0.0009,0.0011,0.0292,0,0.0009,0.0006
5.575753,34,GOOD,77.77777778,0,0,22.22222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,847,0,2.6029,4.1674,30.6274,0.0808,0.4316,0,2.7769,5.5317,0.2724,0.0043,0.003,0.3499,1.6422,0.0006,0.0016,0.001,0.0041,0.0009,0.0004,0,0.0075,0.0056,0.0026,0.0219,0.001,0.0011,0.0251,0.0006,0.0004,0.0011
5.702142,35,GOOD,44.44444444,0,0,11.11111111,0,0,0,44.44444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44444444,0,0,33.33333333,22.22222222,0,734,0.2791,2.335,4.5103,29.4775,0.1014,0.1752,0,3.0626,4.4093,0.3039,0.0065,0.0013,0.2745,1.8077,0.0007,0.0015,0.0007,0.0051,0.0008,0.0003,0.0003,0.0091,0.0052,0.0025,0.027,0.0011,0.0011,0.0232,0.0012,0.0004,0.0006
5.803472,36,GOOD,88.88888889,0,0,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.88888889,11.11111111,0,0,0,0,0,808,0,2.5533,4.1008,30.5908,0.1028,0.2997,0,2.7549,5.6031,0.2701,0.0061,0.0018,0.3561,1.4665,0.0006,0.0012,0.0005,0.0051,0.0009,0.0003,0,0.0074,0.0055,0.0025,0.022,0.0009,0.001,0.0189,0,0,0
5.896085,37,GOOD,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,797,0,2.17,2.702,24.9057,0.0625,0.3388,0,2.0391,4.9265,0.192,0.0049,0.0013,0.308,1.4218,0.0003,0.0015,0.0012,0.0036,0.0007,0.0006,0,0.0068,0.0054,0.0023,0.0229,0.0008,0.001,0.0152,0.0008,0.0008,0.0008
5.994146,38,GOOD,0,0,0,0,0,0,0,33.33333333,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,840,0.184,2.4635,4.5508,29.3678,0.082,0.5292,0,3.0928,4.6078,0.2667,0.0059,0,0.28,1.8472,0.0007,0.002,0.001,0.0053,0.0013,0.0004,0,0.0094,0.0056,0.0027,0.022,0.0011,0.0009,0.0307,0,0,0
6.090028,39,GOOD,77.77777778,0,0,11.11111111,0,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,848,0,2.6674,3.9012,32.7898,0.0923,0.3948,0,2.6071,6.1737,0.2265,0.0023,0.0022,0.3892,1.5097,0.0006,0.0015,0.0006,0.0039,0.0011,0,0,0.0066,0.0055,0.0022,0.0211,0.0006,0.0011,0.0202,0.0011,0.0006,0.0004
